tau,alpha,sq_errors,sq_errors_old,is_best_tau
13.1,16.412816973876414,8608.334840317742,4898142.524140798,False
13.2,16.312923811638225,8648.149676722993,4920797.166055382,False
13.3,16.21419996822775,8687.648705370504,4943272.113355817,False
13.4,16.116621555301705,8726.861071514726,4965583.94969188,False
13.5,16.02016230013311,8765.818573865798,4987750.768529639,False
13.6,15.924793296423507,8804.542291857846,5009784.564067113,False
13.7,15.830499496833408,8843.014495599517,5031675.247996125,False
13.8,15.73727801355637,8881.200627444763,5053403.157016071,False
13.9,15.645116354994418,8919.088483260342,5074961.346975134,False
14.0,15.55399855761382,8956.67717686101,5096349.313633915,False
14.1,15.463905927097292,8993.97042132901,5117569.169736207,False
14.2,15.374819560199269,9030.972364179643,5138623.275218218,False
14.3,15.286725769344486,9067.687544869616,5159514.213030812,False
14.4,15.199599452941335,9104.145235004617,5180258.638717627,False
14.5,15.113429374966032,9140.322306129669,5200843.392187782,False
14.6,15.028201090048384,9176.236934290195,5221278.81561112,False
14.7,14.943895856409313,9211.895500728313,5241568.5399144115,False
14.8,14.860502786507105,9247.288091482222,5261706.924053386,False
14.9,14.778006423181383,9282.422771217252,5281698.556822616,False
15.0,14.696396841746068,9317.288832790417,5301537.345857747,False
15.1,14.61565805249131,9351.89430671844,5321227.860522791,False
15.2,14.535780025765128,9386.232569133495,5340766.331836959,False
15.3,14.45674833098994,9420.30759563608,5360155.021916929,False
15.4,14.37853880942613,9454.147799086406,5379410.0976801645,False
15.5,14.301147272544037,9487.734497676203,5398520.929177759,False
15.6,14.224562062276357,9521.068302470083,5417487.864105477,False
15.7,14.148769916338084,9554.15691680417,5436315.2856615735,False
15.8,14.073761787379832,9586.997183087244,5455001.397176644,False
15.9,13.99952167101268,9619.61079021292,5473558.53963115,False
16.0,13.926042973515193,9651.977142367836,5491974.994007299,False
16.1,13.853314299321958,9684.09863064666,5510252.12083795,False
16.2,13.781324474013719,9715.977626410237,5528391.269427425,False
16.3,13.710062539107907,9747.616481059225,5546393.7777227,False
16.4,13.63951774699171,9779.017525835812,5564260.972200578,False
16.5,13.569678473806256,9810.184633256282,5581995.056322823,False
16.6,13.500532273365188,9841.123186184135,5599599.092938772,False
16.7,13.432072265671817,9871.830774850416,5617071.710889887,False
16.8,13.364288497154954,9902.309648055698,5634414.189743692,False
16.9,13.297171201801104,9932.562033839691,5651627.797254784,False
17.0,13.230710796855208,9962.590139418227,5668713.789328973,False
17.1,13.164897638441202,9992.396758676492,5685673.755686924,False
17.2,13.099719755310938,10021.99106582585,5702512.9164549075,False
17.3,13.035171114939478,10051.367613492837,5719228.172077426,False
17.4,12.971242826385739,10080.528523303765,5735820.729759843,False
17.5,12.907924262775865,10109.480864838355,5752294.612093025,False
17.6,12.845207519908683,10138.22509400371,5768650.0784881115,False
17.7,12.783085459774927,10166.759963487237,5784886.419224238,False
17.8,12.721549823195492,10195.087509504203,5801004.792907892,False
17.9,12.660589973279706,10223.22274903421,5817013.744200464,False
18.0,12.600195115451863,10251.170970752974,5832916.282358442,False
18.1,12.54036234503323,10278.918627861009,5848704.699252912,False
18.2,12.481084548848347,10306.466764521341,5864379.589012646,False
18.3,12.42235418030594,10333.817314548323,5879942.051977995,False
18.4,12.364160844766781,10360.977139549015,5895395.992403388,False
18.5,12.306499589019925,10387.94435771229,5910740.339538292,False
18.6,12.24935996897374,10414.74092006382,5925987.583516315,False
18.7,12.192734083034757,10441.373627371006,5941141.593974102,False
18.8,12.136620011503695,10467.817922511676,5956188.397909144,False
18.9,12.081010783090708,10494.076154757297,5971129.3320569005,False
19.0,12.025896948963595,10520.158047025694,5985969.92875762,False
19.1,11.971271684863448,10546.062693855729,6000709.672803911,False
19.2,11.917131856789533,10571.786118934046,6015346.301673474,False
19.3,11.863471130466753,10597.330056154087,6029880.801951675,False
19.4,11.810283279509708,10622.69622084579,6044314.149661255,False
19.5,11.757560485982676,10647.891524032128,6058650.277174281,False
19.6,11.705293692587059,10672.936119166865,6072900.651805946,False
19.7,11.65348122068627,10697.811151628415,6087054.545276567,False
19.8,11.60211783238321,10722.515052667897,6101111.064968034,False
19.9,11.551197807378571,10747.049444142382,6115071.133717016,False
20.0,11.500713863917936,10771.421222963261,6128938.675866094,False
